story_id,level,chapter,theme_index,idea,shlokas,age_hint,verse_summaries_en,verse_summaries_te
"sk1_05","seekers","1","5","Attachment affects decisions","1.33, 1.34","8-10 years (deeper, can mention Arjuna/Krishna)","1.33: Those for whose sake we desire empire, enjoyment, and pleasures, stand here in war, renouncing life and wealth. | 1.34: all these are to be regarded as one's own self. Teachers, fathers, sons, grandfathers, uncles, fathers-in-law, grandsons, brothers-in-law, and other kinsmen—all these are to be regarded as one's own self.","1.33: Those for whose sake we desire empire, enjoyment, and pleasures, stand here in war, renouncing life and wealth. | 1.34: all these are to be regarded as one's own self. Teachers, fathers, sons, grandfathers, uncles, fathers-in-law, grandsons, brothers-in-law, and other kinsmen—all these are to be regarded as one's own self."
"sk1_06","seekers","1","6","Hard choices with loved ones","1.34, 1.35","8-10 years (deeper, can mention Arjuna/Krishna)","1.34: all these are to be regarded as one's own self. Teachers, fathers, sons, grandfathers, uncles, fathers-in-law, grandsons, brothers-in-law, and other kinsmen—all these are to be regarded as one's own self. | 1.35: I would not slay them, even if they might slay me, for the sovereignty of the three worlds—how much less for this earth, O Krsna?","1.34: all these are to be regarded as one's own self. Teachers, fathers, sons, grandfathers, uncles, fathers-in-law, grandsons, brothers-in-law, and other kinsmen—all these are to be regarded as one's own self. | 1.35: I would not slay them, even if they might slay me, for the sovereignty of the three worlds—how much less for this earth, O Krsna?"
"sk1_07","seekers","1","7","Saying no to responsibility","1.35, 1.36","8-10 years (deeper, can mention Arjuna/Krishna)","1.35: I would not slay them, even if they might slay me, for the sovereignty of the three worlds—how much less for this earth, O Krsna? | 1.36: If we were to kill the sons of Dhrtarastra, what joy would be ours, O Krsna? Sin alone would accrue to us if we killed these murderous felons.","1.35: I would not slay them, even if they might slay me, for the sovereignty of the three worlds—how much less for this earth, O Krsna? | 1.36: If we were to kill the sons of Dhrtarastra, what joy would be ours, O Krsna? Sin alone would accrue to us if we killed these murderous felons."
"sk1_08","seekers","1","8","Overthinking outcomes","1.36, 1.37","8-10 years (deeper, can mention Arjuna/Krishna)","1.36: If we were to kill the sons of Dhrtarastra, what joy would be ours, O Krsna? Sin alone would accrue to us if we killed these murderous felons. | 1.37: Therefore, it is not befitting for us to slay our kin, the sons of Dhrtarastra. For if we kill our kinsmen, O Krsna, how can we be happy?","1.36: If we were to kill the sons of Dhrtarastra, what joy would be ours, O Krsna? Sin alone would accrue to us if we killed these murderous felons. | 1.37: Therefore, it is not befitting for us to slay our kin, the sons of Dhrtarastra. For if we kill our kinsmen, O Krsna, how can we be happy?"
"sk1_09","seekers","1","9","Overthinking leads to stress","1.38, 1.39","8-10 years (deeper, can mention Arjuna/Krishna)","1.38: Though these people, whose minds are overpowered by greed, see no evil in the destruction of a clan and no sin in treachery to friends, | 1.39: Why should we not learn to shun this crime—we who see the evil of ruining a clan, O Krishna?","1.38: Though these people, whose minds are overpowered by greed, see no evil in the destruction of a clan and no sin in treachery to friends, | 1.39: Why should we not learn to shun this crime—we who see the evil of ruining a clan, O Krishna?"
"sk1_10","seekers","1","10","Confusion clouds right thinking","1.40, 1.41","8-10 years (deeper, can mention Arjuna/Krishna)","1.40: With the ruin of a clan, its ancient traditions perish, and when traditions perish, lawlessness overtakes the whole clan. | 1.41: When lawlessness prevails, O Krsna, the women of the clan become corrupted; when women become corrupted, there arises an intermixing of classes.","1.40: With the ruin of a clan, its ancient traditions perish, and when traditions perish, lawlessness overtakes the whole clan. | 1.41: When lawlessness prevails, O Krsna, the women of the clan become corrupted; when women become corrupted, there arises an intermixing of classes."
"sk1_11","seekers","1","11","One negative thought leads to another","1.41, 1.42","8-10 years (deeper, can mention Arjuna/Krishna)","1.41: When lawlessness prevails, O Krsna, the women of the clan become corrupted; when women become corrupted, there arises an intermixing of classes. | 1.42: This mixing of classes leads to hell for the clan itself and its destroyers; for the spirits of their ancestors fall degraded, deprived of the ritual offerings of food and water.","1.41: When lawlessness prevails, O Krsna, the women of the clan become corrupted; when women become corrupted, there arises an intermixing of classes. | 1.42: This mixing of classes leads to hell for the clan itself and its destroyers; for the spirits of their ancestors fall degraded, deprived of the ritual offerings of food and water."
"sk1_12","seekers","1","12","Fear of losing everything","1.42, 1.43","8-10 years (deeper, can mention Arjuna/Krishna)","1.42: This mixing of classes leads to hell for the clan itself and its destroyers; for the spirits of their ancestors fall degraded, deprived of the ritual offerings of food and water. | 1.43: By the sins of the clan-destroyers who bring about intermixing of classes, the ancient traditions of the clans and classes are destroyed.","1.42: This mixing of classes leads to hell for the clan itself and its destroyers; for the spirits of their ancestors fall degraded, deprived of the ritual offerings of food and water. | 1.43: By the sins of the clan-destroyers who bring about intermixing of classes, the ancient traditions of the clans and classes are destroyed."
"sk1_13","seekers","1","13","Giving up mentally","1.44, 1.45","8-10 years (deeper, can mention Arjuna/Krishna)","1.44: For those whose clan laws are destroyed, dwelling in hell is ordained, O Krishna; thus, we have heard. | 1.45: Alas! We have resolved to commit a great sin, for we are ready to slay our kin out of desire for sovereignty and enjoyment.","1.44: For those whose clan laws are destroyed, dwelling in hell is ordained, O Krishna; thus, we have heard. | 1.45: Alas! We have resolved to commit a great sin, for we are ready to slay our kin out of desire for sovereignty and enjoyment."
"s2_01","seeds","2","1","Transcendental Knowledge","2.2, 2.3","5-7 years (simple school/home analogies)","2.2: Krishna asked: 'Why are you feeling so weak? You are a brave warrior! These sad thoughts don't help you grow.' | 2.3: Krishna said: 'Don't be a coward! Shake off this small worry and stand up ready to do your duty!'","2.2: కృష్ణుడు అడిగాడు: 'నువ్వు ఎందుకు ఇంత బలహీనంగా ఉన్నావు? నువ్వు ఒక వీరుడివి! ఈ బాధాకరమైన ఆలోచనలు నీ ఎదుగుదలకు పనికిరావు.' | 2.3: కృష్ణుడు ఇలా అన్నాడు: 'భయపడవద్దు! నీ చిన్న చిన్న బాధలను వదిలేసి, నీ బాధ్యతను నెరవేర్చడానికి ధైర్యంగా నిలబడు!'"
"s2_02","seeds","2","2","Transcendental Knowledge","2.11, 2.12","5-7 years (simple school/home analogies)","2.11: Krishna said: 'You talk smart, but worry about small things! Wise people know the soul stays forever.' | 2.12: There never was a time when I did not exist, nor you, nor any of these kings. Nor will there be any time in the future when all of us shall cease to exist.","2.11: కృష్ణుడు అన్నాడు: 'నువ్వు గొప్ప మాటలు మాట్లాడుతున్నావు, కానీ చిన్న విషయాలకే భయపడుతున్నావు! ప్రాణం ఎప్పటికీ ఉంటుందని తెలిసిన వారు బాధపడరు.' | 2.12: There never was a time when I did not exist, nor you, nor any of these kings. Nor will there be any time in the future when all of us shall cease to exist."
"s2_03","seeds","2","3","Transcendental Knowledge","2.13, 2.14","5-7 years (simple school/home analogies)","2.13: Just like you grow from a baby to a kid, the 'real you' (soul) just moves from one 'costume' to another. | 2.14: The contact of the senses with their objects, O Arjuna, gives rise to feelings of cold and heat, pleasure and pain. They come and go, never lasting long. End...","2.13: నువ్వు చిన్న పాప నుండి పెద్ద బాబుగా ఎలా మారుతావో, లోపల ఉన్న 'నువ్వు' (ఆత్మ) కూడా ఒక డ్రెస్ నుండి మరో డ్రెస్ మారినట్లు మారుతుంది. | 2.14: The contact of the senses with their objects, O Arjuna, gives rise to feelings of cold and heat, pleasure and pain. They come and go, never lasting long. End..."
"s2_04","seeds","2","4","Transcendental Knowledge","2.20, 2.21","5-7 years (simple school/home analogies)","2.20: The soul is like a superhero that can never be hurt! It was never born and never dies. | 2.21: He who knows this self to be indestructible, unborn, unchanging, and thus eternal—how, O Arjuna, does he cause anyone to be killed, and whom does he kill?","2.20: నీ ఆత్మ ఒక సూపర్ హీరో లాంటిది! దానికి దెబ్బ తగలదు, అది ఎప్పుడూ చనిపోదు. | 2.21: He who knows this self to be indestructible, unborn, unchanging, and thus eternal—how, O Arjuna, does he cause anyone to be killed, and whom does he kill?"
"s2_05","seeds","2","5","Transcendental Knowledge","2.27, 2.28","5-7 years (simple school/home analogies)","2.27: For, death is certain for the born, and rebirth is certain for the dead; therefore, you should not grieve for what is inevitable. | 2.28: O Arjuna, beings have an unknown beginning, a known middle, and an unknown end. What is there to grieve about in all this?","2.27: For, death is certain for the born, and rebirth is certain for the dead; therefore, you should not grieve for what is inevitable. | 2.28: O Arjuna, beings have an unknown beginning, a known middle, and an unknown end. What is there to grieve about in all this?"
"s2_06","seeds","2","6","Transcendental Knowledge","2.47, 2.48","5-7 years (simple school/home analogies)","2.47: Focus on effort and enjoy the activity! The fun is in the doing, not just the prize. | 2.48: Abandoning attachment and established in Yoga, perform works, viewing success and failure with an even mind. Evenness of mind is said to be Yoga.","2.47: నీ వంతు ప్రయత్నం నువ్వు చేయి, ఫలితం గురించి భయం వద్దు. చేసే పనిని ఇష్టపడి చేయి! | 2.48: Abandoning attachment and established in Yoga, perform works, viewing success and failure with an even mind. Evenness of mind is said to be Yoga."
"s2_07","seeds","2","7","Transcendental Knowledge","2.55, 2.56","5-7 years (simple school/home analogies)","2.55: The Lord said, ""When a man renounces all the desires of the mind and is content with himself, then he is said to possess firm wisdom."" | 2.56: He whose mind is not perturbed by pain, who has no longing for pleasures, who is free from desire, fear, and anger—he is called a sage of firm wisdom.","2.55: The Lord said, ""When a man renounces all the desires of the mind and is content with himself, then he is said to possess firm wisdom."" | 2.56: He whose mind is not perturbed by pain, who has no longing for pleasures, who is free from desire, fear, and anger—he is called a sage of firm wisdom."
"s2_08","seeds","2","8","Transcendental Knowledge","2.62, 2.63","5-7 years (simple school/home analogies)","2.62: To one who is thinking about sense-objects, attachment to them arises; from attachment arises desire, and from desire arises anger. | 2.63: Anger leads to delusion, which causes the loss of memory; the loss of memory leads to the destruction of discrimination, and with the destruction of discrimi...","2.62: To one who is thinking about sense-objects, attachment to them arises; from attachment arises desire, and from desire arises anger. | 2.63: Anger leads to delusion, which causes the loss of memory; the loss of memory leads to the destruction of discrimination, and with the destruction of discrimi..."
"s2_09","seeds","2","9","Transcendental Knowledge","2.70, 2.71","5-7 years (simple school/home analogies)","2.70: He into whom all desires enter, just as the waters enter the full and undisturbed sea, attains peace, and not he who longs after objects of desire. | 2.71: The one who, abandoning all desires, abides without longing, possession, and the sense of 'I' and 'mine', wins peace.","2.70: He into whom all desires enter, just as the waters enter the full and undisturbed sea, attains peace, and not he who longs after objects of desire. | 2.71: The one who, abandoning all desires, abides without longing, possession, and the sense of 'I' and 'mine', wins peace."
"s2_10","seeds","2","10","Transcendental Knowledge","2.71, 2.72","5-7 years (simple school/home analogies)","2.71: The one who, abandoning all desires, abides without longing, possession, and the sense of 'I' and 'mine', wins peace. | 2.72: This is the Brahmic state, O Arjuna. No one attaining to this is deluded. By abiding in this state even at the hour of death, one will attain the Self.","2.71: The one who, abandoning all desires, abides without longing, possession, and the sense of 'I' and 'mine', wins peace. | 2.72: This is the Brahmic state, O Arjuna. No one attaining to this is deluded. By abiding in this state even at the hour of death, one will attain the Self."
"sk2_01","seekers","2","1","Transcendental Knowledge — deeper look","2.1, 2.2","8-10 years (deeper, can mention Arjuna/Krishna)","2.1: Sanjaya said: Seeing Arjuna full of compassion, his mind depressed, his eyes full of tears, Krishna spoke these words. | 2.2: Krishna said: My dear Arjuna, how have these impurities come upon you? They are not at all befitting a brave man.","2.1: సంజయుడు ఇలా అన్నాడు: కరుణతో నిండి, కన్నీళ్లు పెట్టుకుంటూ విచారిస్తున్న అర్జునుడిని చూసి, కృష్ణుడు ఈ మాటలు పలికాడు. | 2.2: శ్రీకృష్ణుడు ఇలా అన్నాడు: అర్జునా, ఈ క్లిష్ట సమయంలో నీకు ఈ బలహీనత ఎక్కడి నుండి వచ్చింది? ఇది వీరులకు తగినది కాదు."
"sk2_02","seekers","2","2","Transcendental Knowledge — deeper look","2.4, 2.5","8-10 years (deeper, can mention Arjuna/Krishna)","2.4: Arjuna said: How can I fight against Bhishma and Drona, who are worthy of my worship? | 2.5: It would be better to live in this world by begging than to enjoy life by killing such noble teachers.","2.4: అర్జునుడు ఇలా అన్నాడు: ఓ కృష్ణా, నేను పూజించదగిన భీష్ముడిని మరియు ద్రోణుడిని యుద్ధంలో బాణాలతో ఎలా ఎదిరించగలను? | 2.5: గొప్పవారైన గురువులను చంపడం కంటే, ఈ లోకంలో భిక్షాటన చేస్తూ బ్రతకడం మేలు. వారిని చంపి పొందే భోగాలు రక్తంతో తడిసినవే అవుతాయి."
"sk2_03","seekers","2","3","Transcendental Knowledge — deeper look","2.7, 2.8","8-10 years (deeper, can mention Arjuna/Krishna)","2.7: I am confused about my duty. Tell me for certain what is best. I am Your disciple. Please instruct me. | 2.8: Even if I were to win unchallenged sovereignty of a prosperous earth or even lordship over the Devas, I do not feel that it would dispel the grief that withers up my senses.","2.7: కర్తవ్యం పట్ల నాకు సందేహం కలుగుతోంది. ఏది శ్రేయస్కరమో నాకు ఖచ్చితంగా చెప్పు. నేను నీ శిష్యుడిని, నన్ను శాసించు. | 2.8: Even if I were to win unchallenged sovereignty of a prosperous earth or even lordship over the Devas, I do not feel that it would dispel the grief that withers up my senses."
"sk2_04","seekers","2","4","Transcendental Knowledge — deeper look","2.11, 2.12, 2.13","8-10 years (deeper, can mention Arjuna/Krishna)","2.11: Wise people do not worry about the living or the dead. | 2.12: There never was a time when I did not exist, nor you, nor any of these kings. Nor will there be any time in the future when all of us shall cease to exist. | 2.13: As the soul passes from boyhood to youth to old age, it passes into another body at death.","2.11: శ్రీభగవానుడు ఇలా అన్నాడు: అర్జునా, నువ్వు విచారించకూడని వాటి కోసం విచారిస్తున్నావు. జ్ఞానులు జీవించి ఉన్నవారి గురించి కానీ, మరణించిన వారి గురించి కానీ దుఃఖించరు. | 2.12: There never was a time when I did not exist, nor you, nor any of these kings. Nor will there be any time in the future when all of us shall cease to exist. | 2.13: ఈ దేహంలో ఉన్న జీవుడికి బాల్యం, యవ్వనం, ముసలితనం ఎలా కలుగుతాయో, మరణం తర్వాత మరో దేహాన్ని పొందడం కూడా అలాగే జరుగుతుంది."
"sk2_05","seekers","2","5","Transcendental Knowledge — deeper look","2.14, 2.15","8-10 years (deeper, can mention Arjuna/Krishna)","2.14: The contact of the senses with their objects, O Arjuna, gives rise to feelings of cold and heat, pleasure and pain. They come and go, never lasting long. Endure them, O Arjuna. | 2.15: For, he whom these do not affect, O chief of men, and to whom pain and pleasure are equal - that steadfast man alone is worthy of immortality.","2.14: The contact of the senses with their objects, O Arjuna, gives rise to feelings of cold and heat, pleasure and pain. They come and go, never lasting long. Endure them, O Arjuna. | 2.15: For, he whom these do not affect, O chief of men, and to whom pain and pleasure are equal - that steadfast man alone is worthy of immortality."
"sk2_06","seekers","2","6","Transcendental Knowledge — deeper look","2.16, 2.17","8-10 years (deeper, can mention Arjuna/Krishna)","2.16: The unreal never comes into being, the real never ceases to be. The truth about these two is seen by the seers. | 2.17: Know that to be indestructible by which all this is pervaded. No one can cause the destruction of this immutable.","2.16: The unreal never comes into being, the real never ceases to be. The truth about these two is seen by the seers. | 2.17: Know that to be indestructible by which all this is pervaded. No one can cause the destruction of this immutable."
"sk2_07","seekers","2","7","Transcendental Knowledge — deeper look","2.18, 2.19","8-10 years (deeper, can mention Arjuna/Krishna)","2.18: These bodies of the Jiva (the embodied self) are said to have an end, while the Jiva itself is eternal, indestructible, and incomprehensible. Therefore, fight, O Bharata (Arjuna). | 2.19: He who considers It (the self) to be the slayer, and he who thinks of It as slain—both are ignorant. For, the self neither slays nor is being slain.","2.18: These bodies of the Jiva (the embodied self) are said to have an end, while the Jiva itself is eternal, indestructible, and incomprehensible. Therefore, fight, O Bharata (Arjuna). | 2.19: He who considers It (the self) to be the slayer, and he who thinks of It as slain—both are ignorant. For, the self neither slays nor is being slain."
"sk2_08","seekers","2","8","Transcendental Knowledge — deeper look","2.20, 2.21, 2.22","8-10 years (deeper, can mention Arjuna/Krishna)","2.20: For the soul there is neither birth nor death. He is unborn, eternal and ever-existing. | 2.21: He who knows this self to be indestructible, unborn, unchanging, and thus eternal—how, O Arjuna, does he cause anyone to be killed, and whom does he kill? | 2.22: As a man casts off worn-out garments and puts on new ones, so does the embodied self cast off its worn-out bodies and enter into new ones.","2.20: ఆత్మకు ఎప్పుడూ పుట్టుక కానీ, మరణం కానీ ఉండవు. అది పుట్టనిది, నిత్యమైనది, శాశ్వతమైనది. శరీరం నశించినా అది నశించదు. | 2.21: He who knows this self to be indestructible, unborn, unchanging, and thus eternal—how, O Arjuna, does he cause anyone to be killed, and whom does he kill? | 2.22: As a man casts off worn-out garments and puts on new ones, so does the embodied self cast off its worn-out bodies and enter into new ones."
"sk2_09","seekers","2","9","Transcendental Knowledge — deeper look","2.23, 2.24","8-10 years (deeper, can mention Arjuna/Krishna)","2.23: Weapons cannot cleave It, fire cannot burn It, waters cannot wet It, and wind cannot dry It. | 2.24: It cannot be cleaved; It cannot be burned; It cannot be wetted, and It cannot be dried; It is eternal, all-pervasive, stable, immovable, and primordial.","2.23: Weapons cannot cleave It, fire cannot burn It, waters cannot wet It, and wind cannot dry It. | 2.24: It cannot be cleaved; It cannot be burned; It cannot be wetted, and It cannot be dried; It is eternal, all-pervasive, stable, immovable, and primordial."
"sk2_10","seekers","2","10","Transcendental Knowledge — deeper look","2.25, 2.26","8-10 years (deeper, can mention Arjuna/Krishna)","2.25: This (self) is said to be unmanifest, inconceivable, and unchanging. Therefore, knowing it thus, it does not befit you to grieve. | 2.26: Or, if you consider this self as constantly being born and constantly dying, O mighty-armed one, it still does not become you to feel grief.","2.25: This (self) is said to be unmanifest, inconceivable, and unchanging. Therefore, knowing it thus, it does not befit you to grieve. | 2.26: Or, if you consider this self as constantly being born and constantly dying, O mighty-armed one, it still does not become you to feel grief."
"sk2_11","seekers","2","11","Transcendental Knowledge — deeper look","2.27, 2.28","8-10 years (deeper, can mention Arjuna/Krishna)","2.27: For, death is certain for the born, and rebirth is certain for the dead; therefore, you should not grieve for what is inevitable. | 2.28: O Arjuna, beings have an unknown beginning, a known middle, and an unknown end. What is there to grieve about in all this?","2.27: For, death is certain for the born, and rebirth is certain for the dead; therefore, you should not grieve for what is inevitable. | 2.28: O Arjuna, beings have an unknown beginning, a known middle, and an unknown end. What is there to grieve about in all this?"
"sk2_12","seekers","2","12","Transcendental Knowledge — deeper look","2.31, 2.32","8-10 years (deeper, can mention Arjuna/Krishna)","2.31: Further, considering also your own duty, it does not befit you to waver. For, to a Kshatriya, there is no greater good than a righteous war. | 2.32: Happy are the Ksatriyas, O Arjuna, to whom such a war comes of its own accord; it opens the gates to heaven.","2.31: Further, considering also your own duty, it does not befit you to waver. For, to a Kshatriya, there is no greater good than a righteous war. | 2.32: Happy are the Ksatriyas, O Arjuna, to whom such a war comes of its own accord; it opens the gates to heaven."
"sk2_13","seekers","2","13","Transcendental Knowledge — deeper look","2.33, 2.34","8-10 years (deeper, can mention Arjuna/Krishna)","2.33: But if you do not fight this righteous war, you will be turning away from your duty and honor, and will incur sin. | 2.34: Further, people will speak ill of you for all time, and for one accustomed to being honored, dishonor is worse than death.","2.33: But if you do not fight this righteous war, you will be turning away from your duty and honor, and will incur sin. | 2.34: Further, people will speak ill of you for all time, and for one accustomed to being honored, dishonor is worse than death."
"sk2_14","seekers","2","14","Transcendental Knowledge — deeper look","2.38, 2.39","8-10 years (deeper, can mention Arjuna/Krishna)","2.38: Holding pleasure and pain, gain and loss, victory and defeat as equal, gird yourself up for the battle. Thus, you shall not incur any sin. | 2.39: This Buddhi concerning the Self (Sankhya) has been imparted to you. Now listen to this with regard to Yoga, by following which you will get rid of the bondage of Karma.","2.38: Holding pleasure and pain, gain and loss, victory and defeat as equal, gird yourself up for the battle. Thus, you shall not incur any sin. | 2.39: This Buddhi concerning the Self (Sankhya) has been imparted to you. Now listen to this with regard to Yoga, by following which you will get rid of the bondage of Karma."
"sk2_15","seekers","2","15","Transcendental Knowledge — deeper look","2.40, 2.41","8-10 years (deeper, can mention Arjuna/Krishna)","2.40: Here, there is no loss of effort, nor any accrual of evil. Even a little of this Dharma (called Karma Yoga) protects one from the great fear. | 2.41: In this (Karma Yoga), O Arjuna, the resolute mind is single-pointed; the minds of the irresolute are multi-branched and endless.","2.40: Here, there is no loss of effort, nor any accrual of evil. Even a little of this Dharma (called Karma Yoga) protects one from the great fear. | 2.41: In this (Karma Yoga), O Arjuna, the resolute mind is single-pointed; the minds of the irresolute are multi-branched and endless."
"sk2_16","seekers","2","16","Transcendental Knowledge — deeper look","2.47, 2.48, 2.49","8-10 years (deeper, can mention Arjuna/Krishna)","2.47: Focus on your duty, not the result. Don't be attached to inaction. | 2.48: Abandoning attachment and established in Yoga, perform works, viewing success and failure with an even mind. Evenness of mind is said to be Yoga. | 2.49: Action done with attachment, O Arjuna, is far inferior to action done with evenness of mind. Seek refuge in evenness of mind; those who act with a motive for results are miserable.","2.47: కర్తవ్యాన్ని నిర్వహించు, ఫలితాన్ని ఆశించకు. పని చేయకుండా సోమరిగా ఉండవద్దు. | 2.48: Abandoning attachment and established in Yoga, perform works, viewing success and failure with an even mind. Evenness of mind is said to be Yoga. | 2.49: Action done with attachment, O Arjuna, is far inferior to action done with evenness of mind. Seek refuge in evenness of mind; those who act with a motive for results are miserable."
"sk2_17","seekers","2","17","Transcendental Knowledge — deeper look","2.50, 2.51","8-10 years (deeper, can mention Arjuna/Krishna)","2.50: A person with an evenness of mind discards both good and evil here and now. Therefore, strive for Yoga; for Yoga is skill in action. | 2.51: The wise, who possess evenness of mind, relinquish the fruits born of action, and are freed from the bondage of birth, going to the region beyond all ills.","2.50: A person with an evenness of mind discards both good and evil here and now. Therefore, strive for Yoga; for Yoga is skill in action. | 2.51: The wise, who possess evenness of mind, relinquish the fruits born of action, and are freed from the bondage of birth, going to the region beyond all ills."
